year,month,day,hour,minute,sec,hyp_lat,hyp_lon,hyp_depth,mw,cmt_mw,cmt_lat,cmt_lon,cmt_depth,St1,D1,Slip1,St12,D2,Slip2,event_time,decimal_year,fault_type,a,b,average_disp_m
2002,6,16,2,46,14.0,8.78,-83.99,35.0,5.4,6.2,8.7,-84.14,15.0,303,13,101,112,77,87,2002-06-16 02:46:14.000,2002.454799287652,R,-0.74,0.08,0.5701642722807476
2002,7,31,0,16,44.6,7.93,-82.79,10.0,6.0,6.4,8.11,-82.92,17.0,260,73,-1,350,89,-163,2002-07-31 00:16:44.600,2002.577718330925,SS,-6.32,0.9,0.2754228703338169
2003,12,25,7,11,11.6,8.42,-82.82,33.0,6.0,6.4,8.38,-82.81,30.12,12,85,176,103,86,5,2003-12-25 07:11:11.600,2003.9809703843132,A,-4.8,0.69,0.41304750199016105
2004,4,29,0,57,21.1,10.81,-86.0,10.0,5.6,6.0,10.32,-86.38,19.0,309,15,97,121,75,88,2004-04-29 00:57:21.100,2004.325913282379,R,-0.74,0.08,0.5495408738576245
2004,11,20,8,7,22.1,9.6,-84.17,16.0,6.2,6.3,9.5,-84.32,22.0,204,49,-16,305,78,-138,2004-11-20 08:07:22.100,2004.8879902780945,SS,-6.32,0.9,0.22387211385683378
2005,8,3,11,3,15.1,11.25,-85.54,14.0,6.0,6.5,11.38,-85.56,12.0,323,84,-179,233,89,-6,2005-08-03 11:03:15.100,2005.587161095901,A,-4.8,0.69,0.48417236758409893
2008,11,19,6,11,20.8,8.27,-82.97,32.0,5.9,6.2,8.23,-82.77,42.11,16,66,-156,275,68,-26,2008-11-19 06:11:20.800,2008.8850318148402,A,-4.8,0.69,0.3006076302628229
2009,1,8,19,21,35.6,10.16,-84.2,14.0,5.7,6.1,10.23,-84.11,12.0,128,79,-174,36,84,-11,2009-01-08 19:21:35.600,2009.0213734567901,A,-4.8,0.69,0.25644840365177163
2010,6,1,3,26,15.6,9.32,-84.25,18.0,5.7,6.0,9.17,-84.24,22.67,293,26,91,112,64,90,2010-06-01 03:26:15.600,2010.4138076089437,R,-0.74,0.08,0.5495408738576245
2011,5,13,22,47,54.0,9.95,-84.31,72.8,5.6,6.0,10.01,-84.31,85.27,131,57,14,33,78,146,2011-05-13 22:47:54.000,2011.3639970720208,SS,-6.32,0.9,0.12022644346174131
2011,11,7,22,35,25.6,11.56,-85.86,177.0,6.0,6.1,11.6,-85.98,172.7,301,22,68,145,69,99,2011-11-07 22:35:25.600,2011.8513107777524,A,-4.8,0.69,0.25644840365177163
2012,9,5,14,42,7.9,10.1,-85.31,35.0,6.8,7.7,10.0,-85.64,29.67,308,17,102,115,73,86,2012-09-05 14:42:07.900,2012.6806641506325,R,-0.74,0.08,0.7516228940182055
2012,10,24,0,45,33.0,10.09,-85.3,17.0,6.0,6.5,9.71,-85.6,22.11,293,24,81,123,66,94,2012-10-24 00:45:33.000,2012.8132282873223,R,-0.74,0.08,0.6025595860743578
2014,4,2,16,13,26.7,7.94,-82.34,25.0,0.0,6.0,7.8,-82.38,32.17,76,74,-6,168,84,-164,2014-04-02 16:13:26.700,2014.2509951960858,SS,-6.32,0.9,0.12022644346174131
2014,5,13,6,35,24.2,7.21,-82.3,10.0,0.0,6.5,7.36,-82.41,17.62,359,77,172,91,83,13,2014-05-13 06:35:24.200,2014.3621480720967,A,-4.8,0.69,0.48417236758409893
2014,12,6,17,21,49.0,7.98,-82.73,15.0,0.0,6.0,8.0,-82.71,18.96,302,30,80,134,61,96,2014-12-06 17:21:49.000,2014.930112207519,R,-0.74,0.08,0.5495408738576245
2014,12,8,8,54,52.5,7.94,-82.69,20.0,0.0,6.6,7.98,-82.63,20.44,307,29,86,132,61,92,2014-12-08 08:54:52.500,2014.9346240525263,R,-0.74,0.08,0.6137620051647943
2017,11,13,2,28,23.7,9.52,-84.49,19.4,0.0,6.5,9.45,-84.58,29.6,294,24,86,119,66,92,2017-11-13 02:28:23.700,2017.8654429677795,R,-0.74,0.08,0.6025595860743578
2018,8,17,23,22,25.0,8.78,-83.15,15.0,0.0,6.1,8.64,-83.19,22.37,299,40,90,118,50,90,2018-08-17 23:22:25.000,2018.6268963736152,R,-0.74,0.08,0.5597576014951101
2019,5,12,19,24,50.4,8.62,-82.83,19.0,0.0,6.0,8.52,-82.87,23.12,95,82,4,4,86,172,2019-05-12 19:24:50.400,2019.3608731335717,SS,-6.32,0.9,0.12022644346174131
2019,6,26,5,23,51.6,8.47,-82.76,33.8,0.0,6.2,8.34,-82.87,33.18,210,81,175,301,85,9,2019-06-26 05:23:51.600,2019.4824774697695,A,-4.8,0.69,0.3006076302628229
2020,8,24,21,51,9.3,9.58,-84.64,20.0,0.0,6.0,9.48,-84.69,28.67,291,25,79,123,66,95,2020-08-24 21:51:09.300,2020.6486256559433,R,-0.74,0.08,0.5495408738576245
2021,7,21,21,15,12.3,7.39,-82.78,10.0,0.0,6.7,7.39,-82.83,17.46,172,89,179,262,89,1,2021-07-21 21:15:12.300,2021.5527325271885,A,-4.8,0.69,0.6652731562017407
2022,10,20,11,57,12.6,7.69,-82.33,20.0,0.0,6.7,7.53,-82.3,13.3,300,25,68,143,67,100,2022-10-20 11:57:12.600,2022.8008160316374,A,-4.8,0.69,0.6652731562017407
2023,4,4,22,18,12.6,7.57,-82.33,16.0,0.0,6.3,7.59,-82.39,20.59,87,76,9,355,81,166,2023-04-04 22:18:12.600,2023.25716442315,SS,-6.32,0.9,0.22387211385683378
