# Adjust velocities relative to the CARIB08 plate model
# Velocities are in mm/yr and referenced to ITRF14
# STAT        Lat      Long   Height      Nvel     Evel   Uvel     Nerr     Eerr     Uerr    CorrNE CorrNU CorrEU Sdate       Edate     InstallYear
#           °        °      m          mm/yr    mm/yr    mm/yr    mm/yr    mm/yr     mm/yr                      YEAR-MO-DY   YEAR-MO-DY  YEAR-MO-DY
#--------------------------------------------------------------------------------------------------------------------------------------------------------------
ABEJ   9.7040  -84.0540  1941.764     18.163     1.496     1.402      0.049     0.049     0.070  -0.4454 -0.1461  0.1893    2018-05-31  2025-09-18  2018
AROL  10.4372  -84.7092   754.696      7.439    -7.174    -2.812      0.085     0.133     0.080   0.9376  0.6306  0.4433    2000-02-16  2025-09-11  2000
BIJA   9.7500  -84.5769   555.631      5.906    -7.140     0.053      0.058     0.083     0.038   0.4412 -0.1185 -0.3049    2009-08-21  2025-09-21  2009
BON2   9.7645  -85.2025    28.223     -6.273   -10.618    19.721      0.210     0.089     0.216   0.8835 -0.8929 -0.6297    2004-10-14  2025-09-21  2004
BRBR   9.6200  -82.8179    44.827     10.343     2.400    -3.856      0.040     0.044     0.163   0.1210  0.0579 -0.1078    2021-01-01  2025-09-17  2021
CABA  10.2379  -85.3435    26.914     -6.678   -24.035     0.181      0.449     0.366     0.107   0.9976  0.9133  0.9112    2009-07-04  2025-09-21  2009
CAPO  10.3706  -83.7269    70.314      9.706     2.234    -0.448      0.363     0.341     1.076  -0.3187 -0.7061  0.3028    2021-09-19  2025-05-19  2021
CDME   9.5537  -83.7637  3483.409     18.365     1.479     0.785      0.026     0.077     0.026   0.9297  0.0619  0.0369    2010-05-02  2025-09-21  2010
CDTO   8.5732  -82.8727   100.049     17.673     2.246    -1.027      0.023     0.068     0.033   0.8287  0.2732  0.3879    2008-07-31  2025-09-21  2008
CHLS  11.0313  -84.7101    51.387      9.117    -0.829     1.908      0.047     0.046     0.141   0.1687  0.1851  0.1169    2021-01-01  2025-09-17  2021
CHOM  10.0442  -84.9079    21.865     17.882    -0.419     0.965      0.044     0.040     0.077   0.6954 -0.2099 -0.3897    2018-05-31  2025-09-18  2018
COBB   9.6881  -85.1069   172.468     15.359    -7.394    -6.568      0.086     0.066     0.137   0.8089 -0.1540  0.0341    2013-02-11  2019-09-12  2013
