# Adjust velocities relative to the CARIB08 plate model
# Velocities are in mm/yr and referenced to ITRF14
# STAT        Lat      Long   Height      Nvel     Evel   Uvel     Nerr     Eerr     Uerr    CorrNE CorrNU CorrEU Sdate       Edate     InstallYear
#           °        °      m          mm/yr    mm/yr    mm/yr    mm/yr    mm/yr     mm/yr                      YEAR-MO-DY   YEAR-MO-DY  YEAR-MO-DY
#--------------------------------------------------------------------------------------------------------------------------------------------------------------
ABEJ   9.7040  -84.0540  1941.764     18.163     1.496     1.402      0.049     0.049     0.070  -0.4454 -0.1461  0.1893    2018-05-31  2025-09-18  2018
AROL  10.4372  -84.7092   754.696     14.796     0.080     5.965      0.048     0.037     0.157   0.7007  0.6569  0.5383    2013-01-01  2025-09-11  2000
BIJA   9.7500  -84.5769   555.631      6.851    -2.991    -0.469      0.071     0.017     0.046   0.4764  0.0127  0.0004    2013-01-01  2025-09-21  2009
BON2   9.7645  -85.2025    28.223     20.993    -2.354    -9.154      0.078     0.052     0.042   0.9441 -0.0334 -0.1117    2013-01-01  2025-09-21  2004
BRBR   9.6200  -82.8179    44.827     10.343     2.400    -3.856      0.040     0.044     0.163   0.1210  0.0579 -0.1078    2021-01-01  2025-09-17  2021
CABA  10.2379  -85.3435    26.914     18.761    -2.416     5.681      0.058     0.040     0.042   0.9447 -0.3540 -0.3857    2013-01-01  2025-09-21  2009
CAPO  10.3706  -83.7269    70.314      9.706     2.234    -0.448      0.363     0.341     1.076  -0.3187 -0.7061  0.3028    2021-09-19  2025-05-19  2021
CDME   9.5537  -83.7637  3483.409     19.285     4.625     0.902      0.011     0.010     0.026   0.1838  0.0899 -0.0400    2013-01-01  2025-09-21  2010
CDTO   8.5732  -82.8727   100.049     18.541     5.457    -0.168      0.016     0.012     0.035   0.4199 -0.1151 -0.2363    2013-01-01  2025-09-21  2008
CHLS  11.0313  -84.7101    51.387      9.117    -0.829     1.908      0.047     0.046     0.141   0.1687  0.1851  0.1169    2021-01-01  2025-09-17  2021
CHOM  10.0442  -84.9079    21.865     17.882    -0.419     0.965      0.044     0.040     0.077   0.6954 -0.2099 -0.3897    2018-05-31  2025-09-18  2018
COBB   9.6881  -85.1069   172.468     15.359    -7.394    -6.568      0.086     0.066     0.137   0.8089 -0.1540  0.0341    2013-02-11  2019-09-12  2013
COVE  10.7194  -84.4019    98.979      7.181    -0.619     0.305      0.018     0.015     0.038   0.6378  0.0453 -0.1181    2013-03-22  2025-07-22  2010
CRU2  11.0540  -85.6334   270.838     15.306    -6.552     2.117      0.024     0.039     0.099   0.2498 -0.0174 -0.2955    2019-06-20  2025-09-11  2019
CTCR   8.8906  -82.7640  1490.678     13.946     4.715     1.050      0.027     0.028     0.112   0.1756 -0.1580 -0.3714    2017-05-30  2025-09-21  2017
EART  10.2126  -83.5943    45.348      9.539     1.059    -1.524      0.018     0.021     0.069  -0.0018  0.2343 -0.0272    2017-11-01  2025-09-21  2017
ELVI  10.3947  -85.4458    81.830     19.088    -4.454     5.998      0.043     0.036     0.045   0.9006 -0.4276 -0.4375    2013-07-03  2025-09-21  2007
GRZA   9.9155  -85.6356    39.631     24.159     4.634    -8.114      0.081     0.040     0.046   0.9569 -0.6797 -0.6721    2013-01-01  2025-09-21  2006
HATI  10.2922  -85.7101    58.630     11.286    -8.873    -1.649      0.081     0.060     0.172   0.8017  0.1578  0.0096    2014-06-29  2020-06-24  2006
HORI  10.7137  -85.5954   173.409     15.521    -7.464     1.686      0.033     0.020     0.042   0.8485 -0.0543 -0.1554    2013-01-01  2025-09-21  2008
IND1   9.8646  -85.5022    75.032     26.774     0.363   -10.484      0.075     0.069     0.078   0.9240 -0.2534 -0.2225    2013-01-01  2025-09-21  2002
JACO   9.6624  -84.6595   116.762     10.759    -2.704     6.094      0.054     0.018     0.104   0.6013 -0.2008 -0.2899    2013-01-01  2025-09-21  2011
LAFE   9.8071  -84.9603    65.270     16.501    -2.300    -0.491      0.039     0.030     0.049   0.9069 -0.4255 -0.3506    2013-01-01  2025-09-21  2009
LBRA  10.6310  -85.4380   160.254     18.184    -4.768     6.293      0.076     0.082     0.222  -0.0853  0.0662 -0.0260    2022-06-01  2025-09-17  2022
LIMN   9.9931  -83.0264    25.048      8.416     4.244    -1.758      0.014     0.025     0.034   0.5278  0.1382  0.0743    2013-01-01  2025-09-17  2010
LMNL  10.2675  -85.0533   102.947     15.830    -3.462     3.692      0.040     0.039     0.042   0.8934 -0.1471 -0.2712    2013-01-01  2025-09-21  2007
LOL2  10.4901  -84.7137   576.480      9.885     1.339    -0.920      0.053     0.045     0.067   0.8459  0.4813  0.4175    2013-01-02  2025-09-21  2009
