#	Table	3	ITRF2008	Absolute	Plate	Rotation	Poles					
#	Note:	NS	=	Number	of	sites.						
#Plate	abv	NS	ωx(mas/a) ωxerr	ωy(mas/a) ωyerr	ωz(mas/a) ωyerr	ω(°/Ma)	degree_err	WRMS(E)	WRMS(N)
AMUR	AM	3	-0.190	0.04	-0.442	0.051	0.915	0.049	0.287	0.008	0.14	0.24
ANTA	AN	9	-0.252	0.008	-0.302	0.006	0.643	0.009	0.209	0.003	0.4	    0.29
ARAB	AR	4	1.202	0.082	-0.054	0.1	    1.485	0.063	0.531	0.027	0.23	0.15
AUST	AU	19	1.504	0.007	1.172	0.007	1.228	0.007	0.63	0.002	0.29	0.25
CARB	CA	2	0.049	0.201	−1.088	0.417	0.664	0.146	0.354	0.122	0.06	0.04
EURA	EU	69	-0.083	0.008	-0.534	0.007	0.75	0.008	0.257	0.002	0.34	0.28
INDI	IN	4	1.232	0.031	0.303	0.128	1.54	0.03	0.554	0.017	0.55	0.55
NAZC	NZ	3	-0.330	0.011	−1.551	0.029	1.625	0.013	0.631	0.005	0.09	0.08
NOAM	NA	44	0.035	0.008	-0.662	0.009	-0.100	0.008	0.186	0.002	0.27	0.32
NUBI	NB	11	0.095	0.009	-0.598	0.007	0.723	0.009	0.262	0.003	0.26	0.35
PCFC	PA	23	-0.411	0.007	1.036	0.007	−2.166	0.009	0.677	0.002	0.42	0.44
SOAM	SA	10	-0.243	0.009	-0.311	0.01	-0.154	0.009	0.118	0.002	0.44	0.34
SOMA	SO	3	-0.080	0.028	-0.745	0.03	0.897	0.012	0.325	0.007	0.28	0.21
SUND	SU	2	0.047	0.381	−1.000	1.57	0.975	0.045	0.388	0.308	0.08	0.05




