year month day hour min sec lat lon depth mw cmt_mw cmt_lat cmt_lon cmt_depth St1 D1 Slip1 St12 D2 Slip2 
2002  6 16  2 46 14.00   8.7800  -83.9900  35.0 5.4 6.2 8.7000 -84.1400 15.0000 303 13 101 112 77 87
2002  7 31  0 16 44.60   7.9300  -82.7900  10.0 6.0 6.4 8.1100 -82.9200 17.0000 260 73 -1 350 89 -163
2003 12 25  7 11 11.60   8.4200  -82.8200  33.0 6.0 6.4 8.3800 -82.8100 30.1200 12 85 176 103 86 5
2004  4 29  0 57 21.10  10.8100  -86.0000  10.0 5.6 6.0 10.3200 -86.3800 19.0000 309 15 97 121 75 88
2004 11 20  8  7 22.10   9.6000  -84.1700  16.0 6.2 6.3 9.5000 -84.3200 22.0000 204 49 -16 305 78 -138
2005  8  3 11  3 15.10  11.2500  -85.5400  14.0 6.0 6.5 11.3800 -85.5600 12.0000 323 84 -179 233 89 -6
2008 11 19  6 11 20.80   8.2700  -82.9700  32.0 5.9 6.2 8.2300 -82.7700 42.1100 16 66 -156 275 68 -26
2009  1  8 19 21 35.60  10.1600  -84.2000  14.0 5.7 6.1 10.2300 -84.1100 12.0000 128 79 -174 36 84 -11
2010  6  1  3 26 15.60   9.3200  -84.2500  18.0 5.7 6.0 9.1700 -84.2400 22.6700 293 26 91 112 64 90
2011  5 13 22 47 54.00   9.9500  -84.3100  72.8 5.6 6.0 10.0100 -84.3100 85.2700 131 57 14 33 78 146
2011 11  7 22 35 25.60  11.5600  -85.8600 177.0 6.0 6.1 11.6000 -85.9800 172.7000 301 22 68 145 69 99
2012  9  5 14 42  7.90  10.1000  -85.3100  35.0 6.8 7.7 10.0000 -85.6400 29.6700 308 17 102 115 73 86
2012 10 24  0 45 33.00  10.0900  -85.3000  17.0 6.0 6.5 9.7100 -85.6000 22.1100 293 24 81 123 66 94
2014  4  2 16 13 26.70   7.9400  -82.3400  25.0 0.0 6.0 7.8000 -82.3800 32.1700 76 74 -6 168 84 -164
2014  5 13  6 35 24.20   7.2100  -82.3000  10.0 0.0 6.5 7.3600 -82.4100 17.6200 359 77 172 91 83 13
2014 12  6 17 21 49.00   7.9800  -82.7300  15.0 0.0 6.0 8.0000 -82.7100 18.9600 302 30 80 134 61 96
2014 12  8  8 54 52.50   7.9400  -82.6900  20.0 0.0 6.6 7.9800 -82.6300 20.4400 307 29 86 132 61 92
2017 11 13  2 28 23.70   9.5200  -84.4900  19.4 0.0 6.5 9.4500 -84.5800 29.6000 294 24 86 119 66 92
2018  8 17 23 22 25.00   8.7800  -83.1500  15.0 0.0 6.1 8.6400 -83.1900 22.3700 299 40 90 118 50 90
2019  5 12 19 24 50.40   8.6200  -82.8300  19.0 0.0 6.0 8.5200 -82.8700 23.1200 95 82 4 4 86 172
2019  6 26  5 23 51.60   8.4700  -82.7600  33.8 0.0 6.2 8.3400 -82.8700 33.1800 210 81 175 301 85 9
2020  8 24 21 51  9.30   9.5800  -84.6400  20.0 0.0 6.0 9.4800 -84.6900 28.6700 291 25 79 123 66 95 
2021  7 21 21 15 12.30   7.3900  -82.7800  10.0 0.0 6.7 7.3900 -82.8300 17.4600 172 89 179 262 89 1
2022 10 20 11 57 12.60   7.6900  -82.3300  20.0 0.0 6.7 7.5300 -82.3000 13.3000 300 25 68 143 67 100
2023  4  4 22 18 12.60   7.5700  -82.3300  16.0 0.0 6.3 7.5900 -82.3900 20.5900 87 76 9 355 81 166
