Equation slip_type a  SA b  SB standard_deviation_s correlation_r  min_M upper_M  min_Displacement_km upper_Displacement_km
1 SS 6.81 0.05 0.78 0.06 0.29 0.90 5.6 8.1 0.01 14.6
1 R 6.52 0.11 0.44 0.26 0.52 0.36 5.4 7.4 0.11 6.5
1 N 6.61 0.09 0.71 0.15 0.34 0.80 5.2 7.3 0.06 6.1
1 A 6.69 0.04 0.74 0.07 0.40 0.78 5.2 8.1 0.01 14.6
2 SS -7.03 0.55 1.03 0.08 0.34 0.90 5.6 8.1 0.01 14.6
2 R -1.84 1.14 0.29 0.17 0.42 0.36 5.4 7.4 0.11 6.5 
2 N -5.90 1.18 0.89 0.18 0.38 0.80 5.2 7.3 0.06 6.1
2 A -5.46 0.51 0.82 0.08 0.42 0.78 5.2 8.1 0.01 14.6
3 SS 7.04 0.05 0.89 0.09 0.28 0.89 5.6 8.1 0.05 8.0
3 R 6.64 0.16 0.13 0.36 0.50 0.10 5.8 7.4 0.06 1.5
3 A 6.93 0.05 0.82 0.10 0.39 0.75 5.6 8.1 0.05 8.0
4 SS -6.32 0.61 0.90 0.09 0.28 0.89 5.6 8.1 0.05 8.0
4 R -0.74 1.40 0.08 0.21 0.38 0.10 5.8 7.4 0.06 1.5
4 N -4.45 1.59 0.63 0.24 0.33 0.64 6.0 7.3 0.08 2.1
4 A -4.80 0.57 0.69 0.08 0.36 0.75 5.6 8.1 0.05 8.0


# Regressions for reverse slip are not significant at the 95% probability level
# MD = maximun displacement // AD = Average displacement // M = magnitude
# SS = strike slip // R = Reverse // N = Normal // A = All
# M = a + b * log(MD)  equation 1  
#log(MD) = a + b * M  equation 2
# M = a + b * log(AD)  equation 3
#log(AD) = a + b * M  equation 4
