Equation slip_type coeficient_a  SA coeficient_b  SB standard_deviation_s correlation_r  min_disp_m upper_disp_m  min_rupture_km upper_rupture_km
1 SS -1.69 0.16 1.16 0.09 0.36 0.86 0.01 14.6 1.3 432
1 R -0.44 0.34 0.42 0.23 0.43 0.38 0.11 6.5 4 148
1 N -1.98 0.50 1.51 0.35 0.41 0.73 0.06 6.4 3.8. 75
1 A -1.38 0.15 1.02 0.09 0.41 0.75 0.01 14.6 1.3 432
2 SS 1.49 0.04 0.64 0.05 0.27 0.86 0.01 14.6 1.3 432
2 R 1.36 0.09 0.35 0.19 0.39 0.38 0.11 6.5 4 148
2 N 1.36 0.05 0.35 0.08 0.20 0.73 0.06 6.4 3.8 75
2 A 1.43 0.03 0.56 0.05 0.31 0.75 0.01 14.6 1.3 432
3 SS -1.70 0.23 1.04 0.13 0.32 0.82 0.10 8.0 3.8 432
3 R -0.60 0.39 0.31 0.27 0.40 0.28 0.06 2.6 6.7 148
3 N -1.99 0.72 1.24 0.49 0.37 0.59 0.08 2.1 15 75
3 A -1.43 0.18 0.88 0.11 0.36 0.71 0.06 8.0 3.8 432
4 SS 1.68 0.04 0.65 0.08 0.26 0.82 0.10 8 3.8 432
4 R 1.45 0.10 0.26 0.23 0.36 0.28 0.06 2.6 6.7 148
4 N 1.52 0.05 0.28 0.11 0.17 0.59 0.08 2.1 15 75
4 A 1.61 0.04 0.57 0.07 0.29 0.71 0.06 8.0 3.8 432



# Regressions for reverse slip are not significant at the 95% probability level
# SRL = Surface rupture lenght // MD = maximun displacement // AD = maximun displacement 
# SS = strike slip // R = Reverse // N = Normal // A = All
#log(MD) = a + b * log(SRL)  equation 1  
#log(SRL) = a + b * log(MD)  equation 2
#log(AD) = a + b * log(SRL)  equation 3
#log(SRL) = a + b * log(AD)  equation 4
