#Table 2: Kreemer et al. (2014) DOI: 10.1002/2014GC005407; with Bird [2003] mark as *, and DeMets et al. (2010) mark as **
#----------------------------------------------------------------------------------------------------------
#Plate Abrev Latitude(E) Longitude(N) Rate Semimajor Semiminor Azi.Major X^2 
#                               -----------DEG/My----------
#----------------------------------------------------------------------------------------------------------
AFRICA AF 59.12 -73.31 0.942 0.2 0.1 103 1.1 
AMUR AM 63.38 -79.90 0.943 4.6 0.4 162 0.1
ANTARTICA AN 64.08 -83.70 0.882 0.2 0.1 131 1.3
ARABIA AR 60.57 -45.94 1.112 2.2 0.1 72 2.6
AEGEAN_SEA AS 73.53 -35.98 0.812 8.4 0.2 107 2.0
AUSTRALIA AU 60.56 3.67 1.082 0.3 0.1 72 1.0
BAJA_CALIFORNIA BC 33.68 -1.67 0.037 99.4 9.0 124 4.4
BERING BG 34.35 -62.81 0.663 22.1 1.2 151 0.0
CARIBBEAN CA 56.17 -81.64 0.926 1.9 0.4 163 0.3
DANAKIL DA 33.99 28.71 2.716 2.3 0.1 147 2.2
EURASIA EU 61.38 -78.79 0.927 0.2 0.1 41 6.1
GONAVE GV 47.06 -78.95 1.071 9.2 0.2 177 1.5
INDIA IN 61.62 -37.54 1.134 9.6 0.3 61 0.3
MARIANA MA 28.29 147.83 2.135 6.3 0.3 9 1.1
NORTH_AMERICA NA 49.30 -76.01 0.791 0.1 0.1 90 25.2
NORTH_BISMARK NB 20.94 144.91 0.778 1.6 0.6 112 0.5
NAZCA NZ 57.36 -88.59 1.250 1.2 0.2 1 0.2
OKHOTSK OK 55.47 -78.14 0.840 13.6 0.7 153 0.7
OKINAWA ON 60.10 158.24 1.673 10.6 0.2 46 2.1
PACIFIC PA 0.00 0.00 0.000 0.0 0.0 0.0 0.3
PANAMA PM 31.26 -81.76 1.904 4.2 0.2 175 5.3
PUERTO_RICO PR 48.11 -77.02 1.109 9.9 0.2 160 0.4
PHILIPPINE_SEA PS 23.95 -41.86 0.864 0.5 0.3 23 1.6
ROVUMA RO 59.81 -70.19 0.929 27.2 0.3 81 0.1
SOUTH_AMERICA SA 55.15 -83.39 0.684 0.9 0.2 144 0.5
SOUTH_BISMARK SB 11.49 -33.95 6.995 3.2 0.5 141 0.0 
SINAI SI 62.90 -39.78 1.093 8.5 0.2 87 0.4
SAKISHIMA SK 32.53 129.60 7.194 4.3 0.1 31 0.4
SHETLAND SL 78.48 150.44 2.198 3.9 0.1 46 18.8
SOMALIA SO 58.35 -80.84 0.994 1.3 0.3 61 0.8
SATUNAM ST 48.65 139.00 3.052 20.6 0.3 24 6.9
SUNDA SU 59.39 -79.39 1.004 1.8 0.2 176 0.8
TONGA TO 29.44 2.20 9.206 0.6 0.1 162 0.6
VICTORIA VI 58.09 -84.24 0.971 8.2 0.3 69 1.0
WOODLACK WL 17.69 134.30 1.763 10.1 0.9 147 1.9
YANGTZE YA 64.56 -82.47 0.987 2.8 0.3 164 1.4
