SITE	SOURCE_SITE	Long	Lat	E_rate	N_rate	H_rate	Error_E	Error_N	Error_H	RHO_EN	Covariance_EN	Velocity_Magnitude	Velocity_Azimuth_deg	Ellipse_Major_1sigma	Ellipse_Minor_1sigma	Ellipse_Azimuth_deg
AACR	AACR_G67	-84.11792	9.93885	-2.07	16.73	-0.38	0.35	0.28	1.08	-0.004	-0.00039200	16.858	352.95	0.3500	0.2800	90.51
ABEJ	ABEJ_GA2	-84.05405	9.70397	0.40	16.35	2.51	0.59	0.46	2.05	-0.008	-0.00217120	16.355	1.40	0.5900	0.4600	90.91
ABMF	ABMF_340	-61.52754	16.26230	0.03	1.21	0.05	0.03	0.02	0.10	-0.050	-0.00003000	1.210	1.42	0.0300	0.0200	93.42
ACHO	ACHO_GPS	-80.17311	7.41473	10.90	11.94	4.17	0.16	0.12	0.56	-0.076	-0.00145920	16.167	42.39	0.1606	0.1192	97.30
ACP1	ACP1_G16	-79.94986	9.37139	2.30	7.83	0.07	0.04	0.03	0.15	0.020	0.00002400	8.161	16.37	0.0400	0.0300	88.04
ACP6	ACP6_2PS	-79.40782	9.23848	2.77	8.09	1.37	0.05	0.04	0.17	0.005	0.00001000	8.551	18.90	0.0500	0.0400	89.36
AMC2	AMC2_5PS	-104.52460	38.80313	-10.60	3.95	0.26	0.04	0.04	0.14	-0.088	-0.00014080	11.312	290.44	0.0417	0.0382	135.00
AMC4	AMC4_GPS	-104.52460	38.80313	-10.60	3.95	0.26	0.04	0.04	0.14	-0.088	-0.00014080	11.312	290.44	0.0417	0.0382	135.00
ANGO	ANGO_G67	-83.64323	9.88044	1.27	15.38	-0.89	0.29	0.22	1.01	0.002	0.00012760	15.432	4.72	0.2900	0.2200	89.80
APRK	APRK_G71	-84.73585	10.46020	2.21	10.56	-0.27	3.51	2.85	12.80	0.087	0.87030450	10.789	11.82	3.5346	2.8194	78.74
ARE3	ARE3_271	-84.71318	10.46271	-11.72	3.19	1.99	2.48	1.79	9.08	0.105	0.46611600	12.146	285.23	2.4945	1.7698	81.22
AREQ	AREQ_878	-71.49280	-16.46552	-16.64	4.63	-1.08	707.11	707.11	707.11	0.000	0.00000000	17.272	285.55	707.1100	707.1100	0.00
AROL	AROL_371	-84.70920	10.43719	0.99	15.86	11.05	0.14	0.11	0.52	0.025	0.00038500	15.891	3.57	0.1401	0.1099	87.07
ARWA	ARWA_G71	-84.72090	10.46192	-11.72	3.18	1.99	2.48	1.79	9.08	0.105	0.46611600	12.144	285.18	2.4945	1.7698	81.22
AURI	AURI_G71	-84.70032	10.48218	0.01	-0.26	0.05	976.34	976.34	976.34	0.000	0.00000000	0.260	177.80	976.3400	976.3400	0.00
AZUE	AZUE_GPS	-80.43252	7.95569	4.69	7.35	0.11	0.50	0.37	1.70	-0.033	-0.00610500	8.719	32.54	0.5003	0.3696	93.08
BATA	BATA_267	-83.37604	10.09774	1.68	8.22	-5.41	0.06	0.05	0.23	-0.019	-0.00005700	8.390	11.55	0.0600	0.0500	92.96
BIJA	BIJA_G71	-84.57687	9.74998	-1.47	14.55	-0.14	0.06	0.05	0.23	0.055	0.00016500	14.624	354.23	0.0602	0.0498	81.65
BOAV	BOAV_GPS	-60.70112	2.84518	-23.50	-3.03	-0.94	0.05	0.04	0.17	-0.037	-0.00007400	23.695	262.65	0.0501	0.0399	94.67
BOGT	BOGT_9PS	-74.08094	4.64007	-17.81	7.14	-14.74	0.03	0.03	0.11	-0.096	-0.00008640	19.188	291.85	0.0314	0.0285	135.00
BON2	BON2_271	-85.20251	9.76453	0.20	24.32	-9.01	0.06	0.05	0.22	0.015	0.00004500	24.321	0.47	0.0600	0.0500	87.66
BRBR	BRBR_G67	-82.81794	9.62002	2.89	9.45	-5.47	0.92	0.74	3.55	0.196	0.13343680	9.882	17.00	0.9473	0.7048	69.12
BRMU	BRMU_3PS	-64.69628	32.37040	-12.54	-3.13	-1.15	0.04	0.04	0.14	0.099	0.00015840	12.925	255.99	0.0419	0.0380	45.00
BUAI	BUAI_G67	-83.32391	9.16307	7.26	20.84	-0.82	0.38	0.29	1.19	-0.010	-0.00110200	22.068	19.21	0.3800	0.2900	91.05
CABA	CABA_G75	-85.34354	10.23787	-1.12	20.28	4.89	0.03	0.02	0.10	0.096	0.00005760	20.311	356.84	0.0301	0.0198	83.51
CAPO	CAPO_G67	-83.72692	10.37060	2.00	5.29	2.14	2.59	1.91	9.83	-0.147	-0.72719430	5.655	20.71	2.6215	1.8666	102.71
CCOL	CCOL_G89	-82.97342	8.40746	7.95	25.56	2.37	0.17	0.13	0.58	-0.006	-0.00013260	26.768	17.28	0.1700	0.1300	90.63
CDME	CDME_367	-83.76368	9.55373	4.50	19.01	0.64	0.05	0.04	0.17	0.034	0.00006800	19.535	13.32	0.0501	0.0399	85.70
CDTO	CDTO_286	-82.87267	8.57324	5.39	16.76	-0.50	0.13	0.10	0.44	0.010	0.00013000	17.605	17.83	0.1300	0.1000	88.92
CGUI	CGUI_G84	-87.55875	12.97631	-12.07	10.91	-1.28	1.11	0.90	4.22	-0.155	-0.15484500	16.270	312.11	1.1326	0.8714	108.13
CHEP	CHEP_GPS	-79.10449	9.17056	1.62	7.32	0.22	0.38	0.30	1.37	-0.011	-0.00125400	7.497	12.48	0.3800	0.3000	91.32
CHLS	CHLS_G67	-84.71006	11.03131	2.27	5.88	-0.20	0.24	0.19	0.84	0.023	0.00104880	6.303	21.11	0.2401	0.1899	87.21
CHOM	CHOM_GA2	-84.90786	10.04423	-0.90	16.50	0.76	0.30	0.23	1.03	-0.013	-0.00089700	16.525	356.88	0.3000	0.2300	91.38
CIQE	CIQE_G67	-84.43089	10.32259	-0.46	11.09	0.91	0.32	0.25	1.07	-0.014	-0.00112000	11.100	357.62	0.3200	0.2499	91.61
CN20	CN20_G67	-82.25627	9.35168	2.02	7.20	-1.23	0.05	0.04	0.20	0.017	0.00003400	7.478	15.67	0.0500	0.0400	87.84
CN22	CN22_283	-87.04469	12.38409	-7.67	15.14	-3.89	0.64	0.50	2.26	-0.002	-0.00064000	16.972	333.13	0.6400	0.5000	90.23
CN28	CN28_GPS	-79.03372	8.62506	3.78	9.27	-0.36	0.04	0.03	0.13	0.042	0.00005040	10.011	22.18	0.0400	0.0299	85.90
CN29	CN29_267	-83.37464	14.04880	0.14	6.14	-2.19	0.32	0.25	1.38	-0.046	-0.00368000	6.142	1.31	0.3205	0.2493	95.23
CN33	CN33_2PS	-80.32667	8.48724	5.27	9.78	-0.33	0.25	0.21	1.07	-0.013	-0.00068250	11.110	28.32	0.2501	0.2099	92.12
CN35	CN35_GPS	-81.36292	13.37550	-2.57	5.63	8.47	0.05	0.04	0.18	0.025	0.00005000	6.189	335.46	0.0500	0.0400	86.83
CNG2	CNG2_383	-86.69934	12.50118	-6.86	12.47	183.07	0.41	0.30	1.67	-0.093	-0.01143900	14.232	331.18	0.4120	0.2973	98.16
CNKC	CNKC_G67	-82.97819	9.59211	14.60	12.33	-16.93	0.16	0.14	0.74	-0.082	-0.00183680	19.110	49.82	0.1616	0.1381	105.74
COBB	COBB_G71	-85.10694	9.68813	-3.36	20.79	-6.49	0.24	0.18	0.89	-0.018	-0.00077760	21.060	350.82	0.2400	0.1799	91.77
COBN	COBN_GA2	-85.12659	9.70765	-1.15	23.42	-7.14	0.41	0.32	1.43	-0.011	-0.00144320	23.448	357.19	0.4100	0.3200	91.26
COLI	COLI_GA2	-84.09003	9.95223	-1.78	14.88	-1.63	0.62	0.49	2.16	-0.014	-0.00425320	14.986	353.18	0.6201	0.4899	91.69
COVE	COVE_267	-84.40188	10.71944	-0.19	7.36	0.11	0.03	0.03	0.11	0.081	0.00007290	7.362	358.52	0.0312	0.0288	45.00
CRCP	CRCP_G67	-84.12502	9.95088	0.75	12.47	8.44	0.73	0.57	2.52	0.005	0.00208050	12.493	3.44	0.7300	0.5700	89.43
CRLP	CRLP_G67	-84.12502	9.95089	0.75	12.47	8.44	0.73	0.57	2.52	0.005	0.00208050	12.493	3.44	0.7300	0.5700	89.43
CRO1	CRO1_9PS	-64.58432	17.75690	-1.01	0.04	-1.48	0.03	0.03	0.12	0.003	0.00000270	1.011	272.27	0.0300	0.0300	45.00
CRU2	CRU2_G83	-85.63345	11.05402	-6.90	14.45	1.96	0.06	0.05	0.21	0.014	0.00004200	16.013	334.48	0.0600	0.0500	87.82
CRUC	CRUC_GA1	-83.14767	8.88846	8.62	21.31	-1.52	0.12	0.10	0.44	0.031	0.00037200	22.987	22.02	0.1201	0.0998	85.20
CRUZ	CRUZ_G83	-85.63349	11.05400	-6.90	14.45	1.96	0.06	0.05	0.21	0.014	0.00004200	16.013	334.48	0.0600	0.0500	87.82
CTCR	CTCR_G86	-82.76403	8.89060	4.10	12.99	1.58	0.07	0.06	0.30	-0.087	-0.00036540	13.622	17.52	0.0707	0.0592	104.67
DAVI	DAVI_G86	-82.43380	8.42547	5.07	10.63	1.45	1.19	0.95	4.33	-0.070	-0.07913500	11.777	25.50	1.1950	0.9437	98.56
DMCL	DMCL_GA2	-83.83549	9.28473	7.12	12.35	1.50	2.76	2.20	11.93	0.022	0.13358400	14.255	29.96	2.7612	2.1985	87.25
DUNO	DUNO_275	-85.49371	10.07903	-4.84	17.31	-6.63	0.20	0.16	0.74	-0.000	-0.00000000	17.974	344.38	0.2000	0.1600	90.00
EART	EART_G67	-83.59431	10.21264	1.14	8.87	-1.94	0.13	0.11	0.47	-0.032	-0.00045760	8.943	7.32	0.1302	0.1098	95.40
ELMA	ELMA_G95	-86.67475	12.46584	-6.01	9.65	-8.42	0.25	0.20	0.94	0.036	0.00180000	11.368	328.09	0.2503	0.1996	85.45
ELVI	ELVI_271	-85.44581	10.39470	-4.11	19.54	5.03	0.04	0.03	0.13	0.060	0.00007200	19.968	348.12	0.0401	0.0299	84.19
